"","FAB_mses","UMPU_mses","alphas"
"result.1",27.0662748808701,27.0662748808701,0
"result.2",26.9790254539111,26.9958159812042,0.005
"result.3",26.9826175960825,26.9919283357028,0.01
"result.4",26.9817790205469,27.0025268040328,0.015
"result.5",26.9787138908663,27.0079517792434,0.02
"result.6",26.9734338725741,27.0068907187845,0.025
"result.7",26.9784416883957,27.0105013515256,0.03
"result.8",26.9783163599455,27.0161337765106,0.035
"result.9",26.9843192950372,27.0121769026422,0.04
"result.10",26.9874210980086,27.0084982746548,0.045
"result.11",26.9836928581785,27.0022095817804,0.05
"result.12",26.9923264391039,27.0073531644974,0.055
"result.13",26.9971000652352,26.9986939970397,0.06
"result.14",26.9963472308012,27.0118410167358,0.065
"result.15",27.0104031709799,27.0091530251568,0.07
"result.16",27.0129868700787,27.0110544151352,0.075
"result.17",27.014519431504,27.0159478793959,0.08
"result.18",27.014432321108,27.0251470190418,0.085
"result.19",27.0157489301587,27.0278562802956,0.09
"result.20",27.0210405733641,27.0368647325036,0.095
"result.21",27.0158295359096,27.0492309624375,0.1
"result.22",27.0207982363882,27.0495237595237,0.105
"result.23",27.0240381091042,27.0509204256542,0.11
"result.24",27.0272231881604,27.0515050313991,0.115
"result.25",27.0336744882081,27.0557373929113,0.12
"result.26",27.0340100894407,27.0608241729242,0.125
"result.27",27.0336453327249,27.0588906005231,0.13
"result.28",27.0359857812327,27.0646896250454,0.135
"result.29",27.0361256923282,27.072622835784,0.14
"result.30",27.038107526523,27.0742340540913,0.145
"result.31",27.0371566875801,27.0768084033563,0.15
"result.32",27.0376667726694,27.0783026388984,0.155
"result.33",27.039036318302,27.0806296968541,0.16
"result.34",27.0420260040021,27.0796931768428,0.165
"result.35",27.0445917254959,27.0794040661904,0.17
"result.36",27.0413920976815,27.0799673387539,0.175
"result.37",27.0392165606124,27.0843942448455,0.18
"result.38",27.0417065202228,27.0838898923395,0.185
"result.39",27.0409807945603,27.0923484234185,0.19
"result.40",27.037009286162,27.0923440632365,0.195
"result.41",27.0347198805501,27.0931970644409,0.2
